position,name,year,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
G,John Lucas,2005,69.25,70.5,154,72,92,,,,29,121,34,126,4,10.44,3.14,28,1,2012,29,49,2,726,143,358,0.399,55,140,0.393,88,218,0.404,28,32,0.875,22,54,76,108,19,1,42,42,369,16.3,0.496,0.476,0.089,0.391,3.4,8.1,5.8,25.8,1.4,0.1,10.1,26,107,102,1.2,1,2.2,0.143
G,John Lucas,2005,69.25,70.5,154,72,92,,,,29,121,34,126,4,10.44,3.14,28,1,1980,26,80,,2763,388,830,0.467,12,42,0.286,376,788,0.477,222,289,0.768,61,159,220,602,138,3,184,196,1010,15.3,0.528,0.475,0.348,0.051,2.4,6.6,4.4,29.2,2.4,0.1,16.1,17,110,108,4,1.9,5.9,0.103
,Juan Mendez,2005,77.25,78.75,231,84,106.5,,,,29,135.5,33,139.5,14,11.7,3.24,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Julius Hodge,2005,78,79,202,84.5,107.5,,,,24.5,132,29,136.5,14,10.89,3.18,26,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Keith Langford,2005,74.25,75.5,203,81,101,,,,32,133,29.5,130.5,8,11.38,3.23,43,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kevin Pittsnogle,2005,81.25,82.25,259,82.5,106,,,,,,,,,,,87,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Larry O'Bannon,2005,75,76.25,196,78,99.5,,,,31.5,131,36.5,136,17,11.44,3.18,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Luke Schenscher,2005,83.75,85.5,242,89,111.5,,,,23.5,135,26.5,138,1,12.4,3.47,75,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Luther Head,2005,74,75,179,77.25,98.5,,,,31.5,130,38.5,137,14,11.12,3.21,7,24,2009,26,32,4,498,55,144,0.382,20,54,0.37,35,90,0.389,19,24,0.792,6,46,52,58,17,2,25,37,149,9.9,0.482,0.451,0.167,0.375,1.4,10.7,6.2,18.1,1.8,0.3,13.9,16.8,100,107,0,0.6,0.6,0.058
C-F,Marcin Gortat,2005,83,84,225,87.5,110,,,,29.5,139.5,36,146,18,11.48,3.33,17,57,2011,26,80,14,2032,338,603,0.561,1,4,0.25,337,599,0.563,140,193,0.725,148,483,631,70,36,91,81,188,817,17.8,0.594,0.561,0.32,0.007,8.5,27.4,18,5.5,0.9,3.3,10.5,17.1,117,105,3.7,2.7,6.4,0.152
